,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
774,Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,"rw 06, 07",2.0,3.0,0,0,5 s/d 40 cm,25 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"rw 03, 04, 05, 06, 07, 08, 09, 10, 11, 12 ",10.0,14.0,132,329,30 s/d 120 cm,"8, 16, 20, 24 februari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Jakarta Selatan,PASAR MINGGU,RAGUNAN,"rw 04, 09",2.0,2.0,0,0,25 s/d 50 cm,"23, 25  februari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,Jakarta Selatan,PASAR MINGGU,PASAR MINGGU,rw 05,1.0,1.0,0,0,15 cm,25 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,Jakarta Selatan,PESANGGRAHAN,BINTARO,"rw 05, ",1.0,1.0,0,0,10 s/d 30 cm,"20, 25 februari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,Jakarta Selatan,PESANGGRAHAN,PETUKANGAN SELATAN,"rw 01, 06",2.0,4.0,0,0,10 s/d 30 cm,25 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,Jakarta Selatan,SETIABUDI,GUNTUR,rw 06,1.0,1.0, ,0,40 cm,23 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,Jakarta Selatan,SETIABUDI,KARET SEMANGGI,rw 04,1.0,1.0,0,0,10 s/d 80 cm,"22, 23, 25  februari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782,Jakarta Selatan,SETIABUDI,PASAR MANGGIS,rw 05,1.0,1.0,0,0,40 cm,23 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783,Jakarta Selatan,SETIABUDI,KARET,"rw 02, 07",2.0,2.0,0,0,20 s/d 30 cm,23 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,Jakarta Selatan,SETIABUDI,MENTENG ATAS,rw 07,1.0,1.0,0,0,20 cm,23 februari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,Jakarta Selatan,TEBET,MANGGARAI,"rw 01, 04, 05, 09, 10, 11",6.0,9.0,4,15,10 s/d 80 cm,"8, 20 , 23,24 februari",0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0
